Step,Agent0_Loss,Agent1_Loss,Agent2_Loss,Agent3_Loss,Avg_Loss
2048,12.994863033294678,10.685433864593506,7.077949076890945,3.4479794800281525,8.55155636370182
4096,1.4157395660877228,0.2859293296933174,1.5399318635463715,1.3253352791070938,1.1417340096086264
6144,-1.213257297873497,0.26303783990442753,4.427201151847839,0.2371800672262907,0.9285404402762651
8192,3.0362234711647034,-12.942450046539307,62.6389217376709,19.291630744934082,18.006081476807594
10240,5.980552494525909,0.1482194848358631,-7.2301318645477295,-1.751207411289215,-0.713141824118793
12288,10.524007797241211,0.0,20.91626477241516,-2.2267380729317665,7.303383624181151
14336,8.470232486724854,25.111282348632812,-3.1803343892097473,10.087213397026062,10.122098460793495
16384,0.8791895732283592,2.923769921064377,0.4590989947319031,2.522178450599313,1.696059234905988
18432,12.280858755111694,-1.1763980239629745,2.860521376132965,14.165031671524048,7.032503444701433
20480,0.9031334887258708,1.4455002546310425,-1.2661865800619125,2.3565858900547028,0.8597582633374259
22528,4.673453748226166,4.13147896528244,3.9199611842632294,2.7580738067626953,3.8707419261336327
24576,4.198618233203888,15.962631940841675,27.346272468566895,32.58566904067993,20.023297920823097
26624,6.838863849639893,18.970733404159546,14.889395713806152,16.434266090393066,14.283314764499664
28672,23.2751407623291,1.5510675013065338,13.641040325164795,8.196319341659546,11.665891982614994
30720,12.622298002243042,9.688813209533691,61.83789253234863,34.08292579650879,29.55798238515854
32768,5.191830277442932,8.743286609649658,2.095581501722336,8.243305087089539,6.068500868976116
34816,8.659165978431702,-1.1364960670471191,1.1923251077532768,3.262486696243286,2.9943704288452864
36864,0.040508415549993515,3.113975167274475,-1.2125419974327087,0.3105475399643183,0.5631222813390195
38912,2.6056629717350006,3.8191826939582825,9.095771193504333,3.0089446306228638,4.63239037245512
40960,-1.3414107263088226,8.2474125623703,3.921919286251068,0.5984748899936676,2.8565990030765533
43008,2.7315123677253723,0.3388390950858593,2.5458903312683105,1.0949574410915375,1.67779980879277
45056,7.152431488037109,0.5507472902536392,0.048881764989346266,2.410907059907913,2.540741900797002
47104,0.0,0.0,0.0,0.0,0.0
49152,4.752099990844727,12.093348264694214,2.7080222368240356,0.38336486369371414,4.9842088390141726
51200,1.383566439151764,-1.5261141657829285,3.824780285358429,-2.5160698890686035,0.2915406674146652
53248,0.26900332793593407,4.555340230464935,-0.7525728046894073,-0.7940511554479599,0.8194298995658755
55296,0.7506205290555954,0.33564962446689606,1.9212073981761932,1.3698836863040924,1.0943403095006943
57344,1.806949108839035,-0.9484224021434784,-1.15153968334198,0.5857482105493546,0.0731838084757328
59392,10.138412952423096,10.166515588760376,-0.4845511605963111,4.535895347595215,6.089068182045594
61440,0.22958700731396675,-0.03140072536189109,0.6562934946268797,0.47846694663167,0.33323668080265634
